PID,FAILURE,DAY0SMART0,DAY0SMART1,DAY0SMART2,DAY0SMART3,DAY0SMART4,DAY0SMART5,DAY0SMART6,DAY0SMART7,DAY0SMART8,DAY0SMART9,DAY0SMART10,DAY1SMART0,DAY1SMART1,DAY1SMART2,DAY1SMART3,DAY1SMART4,DAY1SMART5,DAY1SMART6,DAY1SMART7,DAY1SMART8,DAY1SMART9,DAY1SMART10,DAY2SMART0,DAY2SMART1,DAY2SMART2,DAY2SMART3,DAY2SMART4,DAY2SMART5,DAY2SMART6,DAY2SMART7,DAY2SMART8,DAY2SMART9,DAY2SMART10,DAY3SMART0,DAY3SMART1,DAY3SMART2,DAY3SMART3,DAY3SMART4,DAY3SMART5,DAY3SMART6,DAY3SMART7,DAY3SMART8,DAY3SMART9,DAY3SMART10,DAY4SMART0,DAY4SMART1,DAY4SMART2,DAY4SMART3,DAY4SMART4,DAY4SMART5,DAY4SMART6,DAY4SMART7,DAY4SMART8,DAY4SMART9,DAY4SMART10,DAY5SMART0,DAY5SMART1,DAY5SMART2,DAY5SMART3,DAY5SMART4,DAY5SMART5,DAY5SMART6,DAY5SMART7,DAY5SMART8,DAY5SMART9,DAY5SMART10,DAY6SMART0,DAY6SMART1,DAY6SMART2,DAY6SMART3,DAY6SMART4,DAY6SMART5,DAY6SMART6,DAY6SMART7,DAY6SMART8,DAY6SMART9,DAY6SMART10,DAY7SMART0,DAY7SMART1,DAY7SMART2,DAY7SMART3,DAY7SMART4,DAY7SMART5,DAY7SMART6,DAY7SMART7,DAY7SMART8,DAY7SMART9,DAY7SMART10,DAY8SMART0,DAY8SMART1,DAY8SMART2,DAY8SMART3,DAY8SMART4,DAY8SMART5,DAY8SMART6,DAY8SMART7,DAY8SMART8,DAY8SMART9,DAY8SMART10,DAY9SMART0,DAY9SMART1,DAY9SMART2,DAY9SMART3,DAY9SMART4,DAY9SMART5,DAY9SMART6,DAY9SMART7,DAY9SMART8,DAY9SMART9,DAY9SMART10,DAY10SMART0,DAY10SMART1,DAY10SMART2,DAY10SMART3,DAY10SMART4,DAY10SMART5,DAY10SMART6,DAY10SMART7,DAY10SMART8,DAY10SMART9,DAY10SMART10,DAY11SMART0,DAY11SMART1,DAY11SMART2,DAY11SMART3,DAY11SMART4,DAY11SMART5,DAY11SMART6,DAY11SMART7,DAY11SMART8,DAY11SMART9,DAY11SMART10,DAY12SMART0,DAY12SMART1,DAY12SMART2,DAY12SMART3,DAY12SMART4,DAY12SMART5,DAY12SMART6,DAY12SMART7,DAY12SMART8,DAY12SMART9,DAY12SMART10,DAY13SMART0,DAY13SMART1,DAY13SMART2,DAY13SMART3,DAY13SMART4,DAY13SMART5,DAY13SMART6,DAY13SMART7,DAY13SMART8,DAY13SMART9,DAY13SMART10,DAY14SMART0,DAY14SMART1,DAY14SMART2,DAY14SMART3,DAY14SMART4,DAY14SMART5,DAY14SMART6,DAY14SMART7,DAY14SMART8,DAY14SMART9,DAY14SMART10,DAY15SMART0,DAY15SMART1,DAY15SMART2,DAY15SMART3,DAY15SMART4,DAY15SMART5,DAY15SMART6,DAY15SMART7,DAY15SMART8,DAY15SMART9,DAY15SMART10,DAY16SMART0,DAY16SMART1,DAY16SMART2,DAY16SMART3,DAY16SMART4,DAY16SMART5,DAY16SMART6,DAY16SMART7,DAY16SMART8,DAY16SMART9,DAY16SMART10,DAY17SMART0,DAY17SMART1,DAY17SMART2,DAY17SMART3,DAY17SMART4,DAY17SMART5,DAY17SMART6,DAY17SMART7,DAY17SMART8,DAY17SMART9,DAY17SMART10,DAY18SMART0,DAY18SMART1,DAY18SMART2,DAY18SMART3,DAY18SMART4,DAY18SMART5,DAY18SMART6,DAY18SMART7,DAY18SMART8,DAY18SMART9,DAY18SMART10,DAY19SMART0,DAY19SMART1,DAY19SMART2,DAY19SMART3,DAY19SMART4,DAY19SMART5,DAY19SMART6,DAY19SMART7,DAY19SMART8,DAY19SMART9,DAY19SMART10
Z304JN6Q,0,117,92,88,30,100,100,75,94,25,100,100,115,92,88,30,100,100,75,94,25,100,100,117,92,88,30,100,100,75,94,25,100,100,117,92,88,30,100,100,75,94,25,100,100,117,92,88,30,100,100,75,94,25,100,100,113,92,88,30,100,100,75,94,25,100,100,117,92,88,30,100,100,75,94,25,100,100,114,92,88,30,100,100,75,94,25,100,100,117,92,88,30,100,100,76,94,24,100,100,119,92,88,30,100,100,75,94,25,100,100,120,92,88,30,100,100,75,94,25,100,100,101,92,88,30,100,100,75,94,25,100,100,120,92,88,30,100,100,75,94,25,100,100,118,92,88,30,100,100,75,94,25,100,100,116,92,88,30,100,100,75,94,25,100,100,117,92,88,30,100,100,76,94,24,100,100,118,92,88,30,100,100,76,94,24,100,100,109,92,88,30,100,100,76,94,24,100,100,114,92,88,30,100,100,76,94,24,100,100,117,92,88,30,100,100,75,94,25,100,100
Z302A0VP,0,112,92,84,22,100,100,83,73,17,100,100,120,92,84,22,100,100,83,73,17,100,100,118,92,84,22,100,100,84,73,16,100,100,117,92,84,22,100,100,83,73,17,100,100,117,92,84,22,100,100,83,73,17,100,100,120,92,84,22,100,100,83,73,17,100,100,118,92,84,22,100,100,84,73,16,100,100,107,92,84,23,100,100,84,73,16,100,100,110,92,84,23,100,100,83,73,17,100,100,115,92,84,23,100,100,84,73,16,100,100,109,92,84,23,100,100,84,73,16,100,100,116,92,84,23,100,100,84,73,16,100,100,113,92,84,23,100,100,83,73,17,100,100,111,92,83,23,100,100,84,73,16,100,100,117,92,83,23,100,100,83,73,17,100,100,110,92,83,23,100,100,83,73,17,100,100,119,92,83,23,100,100,83,73,17,100,100,119,92,83,23,100,100,83,73,17,100,100,117,92,83,23,100,100,83,73,17,100,100,118,92,83,23,100,100,83,73,17,100,100
Z302SYBV,0,119,91,81,28,100,100,74,94,26,100,100,113,91,81,28,100,100,74,94,26,100,100,112,91,81,28,100,100,74,94,26,100,100,117,91,81,28,100,100,75,94,25,100,100,111,91,81,28,100,100,74,94,26,100,100,117,91,81,28,100,100,74,94,26,100,100,118,91,81,28,100,100,74,94,26,100,100,115,91,81,28,100,100,74,94,26,100,100,111,91,81,28,100,100,74,94,26,100,100,118,91,81,28,100,100,74,94,26,100,100,114,91,81,28,100,100,74,94,26,100,100,114,91,81,28,100,100,74,94,26,100,100,120,91,81,28,100,100,74,94,26,100,100,117,91,81,28,100,100,74,94,26,100,100,113,91,81,28,100,100,74,94,26,100,100,119,91,81,28,100,100,74,94,26,100,100,117,91,81,28,100,100,74,94,26,100,100,111,91,81,28,100,100,74,94,26,100,100,118,91,81,28,100,100,74,94,26,100,100,114,91,81,28,100,100,75,94,25,100,100
Z305LBRR,0,119,96,84,35,100,100,68,98,32,100,100,118,96,84,35,100,100,68,98,32,100,100,116,96,84,35,100,100,68,98,32,100,100,114,96,84,35,100,100,68,98,32,100,100,118,96,84,35,100,100,68,98,32,100,100,117,96,84,35,100,100,68,98,32,100,100,116,96,84,35,100,100,69,98,31,100,100,117,96,84,35,100,100,69,98,31,100,100,117,96,84,35,100,100,68,98,32,100,100,115,96,84,35,100,100,69,98,31,100,100,117,96,84,35,100,100,69,98,31,100,100,108,96,84,35,100,100,70,98,30,100,100,105,96,84,35,100,100,70,98,30,100,100,109,96,84,35,100,100,68,98,32,100,100,109,96,84,35,100,100,69,98,31,100,100,118,96,83,35,100,100,69,98,31,100,100,118,96,83,35,100,100,69,98,31,100,100,113,96,83,35,100,100,69,98,31,100,100,117,96,83,35,100,100,70,98,30,100,100,105,96,83,35,100,100,70,98,30,100,100
S300XCSB,0,115,92,86,28,100,100,82,33,18,100,100,117,92,86,28,100,100,82,33,18,100,100,116,92,86,28,100,100,82,33,18,100,100,111,92,86,28,100,100,82,33,18,100,100,108,92,86,28,100,100,82,33,18,100,100,114,92,86,28,100,100,82,33,18,100,100,117,92,86,28,100,100,82,33,18,100,100,118,92,86,28,100,100,82,33,18,100,100,115,92,86,28,100,100,82,33,18,100,100,117,92,86,28,100,100,82,33,18,100,100,114,92,86,28,100,100,82,33,18,100,100,119,92,86,28,100,100,82,33,18,100,100,105,92,86,28,100,100,82,33,18,100,100,117,92,86,28,100,100,82,33,18,100,100,119,92,86,28,100,100,82,33,18,100,100,117,92,85,28,100,100,83,33,17,100,100,120,92,85,28,100,100,82,33,18,100,100,111,92,85,28,100,100,82,33,18,100,100,117,92,85,28,100,100,82,33,18,100,100,117,92,85,28,100,100,82,33,18,100,100
Z3059KH0,0,106,91,88,30,100,100,81,100,19,100,100,119,91,88,30,100,100,80,100,20,100,100,117,91,88,30,100,100,80,100,20,100,100,117,91,88,30,100,100,81,100,19,100,100,117,91,88,30,100,100,80,100,20,100,100,116,91,88,30,100,100,80,100,20,100,100,120,91,88,30,100,100,81,100,19,100,100,115,91,88,30,100,100,81,100,19,100,100,118,91,88,30,100,100,80,100,20,100,100,115,91,88,30,100,100,80,100,20,100,100,119,91,88,30,100,100,80,100,20,100,100,119,91,88,30,100,100,81,100,19,100,100,119,91,88,30,100,100,80,100,20,100,100,114,91,88,30,100,100,80,100,20,100,100,115,91,88,30,100,100,80,100,20,100,100,117,91,88,30,100,100,80,100,20,100,100,117,91,88,30,100,100,80,100,20,100,100,107,91,88,30,100,100,80,100,20,100,100,117,91,88,30,100,100,80,100,20,100,100,118,91,88,31,100,100,80,100,20,100,100
Z305D686,0,119,91,88,32,98,100,65,98,35,100,100,118,91,88,32,98,100,65,98,35,100,100,114,91,88,32,98,100,65,98,35,100,100,108,91,88,32,98,100,65,98,35,100,100,113,91,88,32,98,100,65,98,35,100,100,119,91,88,32,98,100,65,98,35,100,100,115,91,88,32,98,100,65,98,35,100,100,117,91,88,32,98,100,65,98,35,100,100,114,91,88,32,98,100,65,98,35,100,100,118,91,88,32,98,100,65,98,35,100,100,118,91,88,32,98,100,65,98,35,100,100,115,91,88,32,98,100,65,98,35,100,100,119,91,88,32,98,100,65,98,35,100,100,114,91,88,32,98,100,65,98,35,100,100,117,91,88,32,98,100,65,98,35,100,100,115,91,88,32,98,100,65,98,35,100,100,120,91,88,32,98,100,65,98,35,100,100,119,91,88,32,98,100,65,98,35,100,100,108,91,88,32,98,100,65,98,35,100,100,117,91,88,32,98,100,64,98,36,100,100
Z304LAM0,0,118,93,85,38,100,100,75,93,25,100,100,114,93,85,38,100,100,74,93,26,100,100,111,93,85,38,100,100,74,93,26,100,100,117,93,85,38,100,100,75,93,25,100,100,117,93,85,38,100,100,75,93,25,100,100,118,93,85,39,100,100,75,93,25,100,100,116,93,85,39,100,100,75,93,25,100,100,115,93,85,39,100,100,75,93,25,100,100,111,93,85,39,100,100,75,93,25,100,100,118,93,85,39,100,100,75,93,25,100,100,119,93,85,39,100,100,75,93,25,100,100,118,93,85,39,100,100,75,93,25,100,100,111,93,85,39,100,100,75,93,25,100,100,105,93,85,39,100,100,75,93,25,100,100,114,93,85,39,100,100,75,93,25,100,100,116,93,85,39,100,100,75,93,25,100,100,118,93,84,39,100,100,75,93,25,100,100,117,93,84,39,100,100,75,93,25,100,100,119,93,84,39,100,100,75,93,25,100,100,108,93,84,39,100,100,75,93,25,100,100
Z304K5WW,0,118,92,84,36,100,100,80,97,20,100,100,118,92,84,36,100,100,80,97,20,100,100,116,92,84,36,100,100,80,97,20,100,100,117,92,84,36,100,100,80,97,20,100,100,120,92,84,36,100,100,80,97,20,100,100,118,92,84,36,100,100,80,97,20,100,100,111,92,84,36,100,100,80,97,20,100,100,117,92,84,36,100,100,80,97,20,100,100,118,92,84,36,100,100,80,97,20,100,100,113,92,84,36,100,100,80,97,20,100,100,117,92,84,36,100,100,80,97,20,100,100,119,92,84,36,100,100,80,97,20,100,100,117,92,84,36,100,100,80,97,20,100,100,113,92,84,36,100,100,80,97,20,100,100,119,92,84,36,100,100,80,97,20,100,100,119,92,84,36,100,100,80,97,20,100,100,114,92,84,36,100,100,80,97,20,100,100,119,92,84,36,100,100,80,97,20,100,100,112,92,84,36,100,100,80,97,20,100,100,116,92,84,36,100,100,79,97,21,100,100
S300WFNN,0,111,97,87,28,100,100,78,42,22,100,100,114,97,87,28,100,100,78,42,22,100,100,110,97,87,28,100,100,79,42,21,100,100,118,97,87,28,100,100,79,42,21,100,100,117,97,87,28,100,100,79,42,21,100,100,117,97,87,28,100,100,79,42,21,100,100,120,97,87,28,100,100,79,42,21,100,100,117,97,87,28,100,100,79,42,21,100,100,115,97,87,28,100,100,79,42,21,100,100,118,97,87,28,100,100,79,42,21,100,100,120,97,87,28,100,100,79,42,21,100,100,117,97,87,28,100,100,78,42,22,100,100,116,97,87,28,100,100,79,42,21,100,100,117,97,87,28,100,100,79,42,21,100,100,119,97,87,28,100,100,79,42,21,100,100,117,97,87,28,100,100,79,42,21,100,100,105,97,87,28,100,100,79,42,21,100,100,117,97,87,28,100,100,79,42,21,100,100,100,97,87,28,100,100,79,42,21,100,100,105,97,87,28,100,100,79,42,21,100,100
Z304JFT9,0,112,92,87,36,100,100,80,97,20,100,100,114,92,87,36,100,100,80,97,20,100,100,117,92,87,36,100,100,79,97,21,100,100,118,92,87,36,100,100,80,97,20,100,100,115,92,87,36,100,100,79,97,21,100,100,112,92,87,36,100,100,80,97,20,100,100,114,92,87,36,100,100,79,97,21,100,100,117,92,87,36,100,100,79,97,21,100,100,100,92,87,36,100,100,79,97,21,100,100,112,92,87,36,100,100,79,97,21,100,100,102,92,87,36,100,100,80,97,20,100,100,117,92,87,36,100,100,79,97,21,100,100,115,92,87,36,100,100,80,97,20,100,100,117,92,87,36,100,100,80,97,20,100,100,115,92,87,36,100,100,80,97,20,100,100,118,92,87,36,100,100,80,97,20,100,100,116,92,87,36,100,100,80,97,20,100,100,115,92,87,37,100,100,80,97,20,100,100,117,92,87,37,100,100,80,97,20,100,100,117,92,87,37,100,100,80,97,20,100,100
S301FF79,0,118,92,83,29,94,100,75,95,25,100,100,116,92,83,29,94,100,76,95,24,100,100,117,92,83,29,94,100,76,95,24,100,100,117,92,83,29,94,100,75,95,25,100,100,117,92,83,29,94,100,75,95,25,100,100,118,92,83,29,94,100,77,95,23,100,100,110,92,83,29,94,100,76,95,24,100,100,108,92,83,29,94,100,76,95,24,100,100,117,92,83,29,94,100,77,95,23,100,100,117,92,83,30,94,100,76,95,24,100,100,119,92,83,30,94,100,76,95,24,100,100,114,92,83,30,94,100,75,95,25,100,100,116,92,83,30,94,100,76,95,24,100,100,114,92,83,30,94,100,76,95,24,100,100,117,92,83,30,94,100,77,95,23,100,100,111,92,83,30,94,100,78,95,22,100,100,103,92,83,30,94,100,77,95,23,100,100,107,92,83,30,94,100,77,95,23,100,100,111,92,82,30,94,100,78,95,22,100,100,119,92,82,30,94,100,77,95,23,100,100
S30113VZ,0,118,98,87,32,100,100,82,82,18,100,100,119,98,87,32,100,100,82,82,18,100,100,117,98,87,32,100,100,82,82,18,100,100,118,98,87,32,100,100,82,82,18,100,100,120,98,87,32,100,100,82,82,18,100,100,100,98,87,32,100,100,82,82,18,100,100,115,98,87,32,100,100,82,82,18,100,100,113,98,87,32,100,100,82,82,18,100,100,115,98,87,32,100,100,82,82,18,100,100,120,98,87,32,100,100,82,82,18,100,100,111,98,87,32,100,100,82,82,18,100,100,119,98,87,32,100,100,82,82,18,100,100,112,98,87,32,100,100,82,82,18,100,100,111,98,87,32,100,100,82,82,18,100,100,114,98,87,32,100,100,82,82,18,100,100,113,98,87,32,100,100,82,82,18,100,100,119,98,87,32,100,100,82,82,18,100,100,110,98,87,32,100,100,82,82,18,100,100,117,98,87,32,100,100,82,82,18,100,100,120,98,87,32,100,100,82,82,18,100,100
S301KXAF,0,117,91,88,32,100,100,81,97,19,100,100,118,91,88,32,100,100,80,97,20,100,100,115,91,88,32,100,100,81,97,19,100,100,119,91,88,32,100,100,81,97,19,100,100,119,91,88,32,100,100,81,97,19,100,100,115,91,88,32,100,100,81,97,19,100,100,104,91,88,32,100,100,81,97,19,100,100,114,91,88,32,100,100,81,97,19,100,100,110,91,88,32,100,100,81,97,19,100,100,114,91,88,32,100,100,81,97,19,100,100,118,91,88,32,100,100,81,97,19,100,100,105,91,88,32,100,100,81,97,19,100,100,102,91,88,32,100,100,81,97,19,100,100,119,91,88,32,100,100,81,97,19,100,100,117,91,88,32,100,100,81,97,19,100,100,116,91,88,32,100,100,81,97,19,100,100,120,91,88,32,100,100,81,97,19,100,100,117,91,88,32,100,100,81,97,19,100,100,118,91,88,33,100,100,81,97,19,100,100,118,91,88,33,100,100,81,97,19,100,100
Z3058KFG,0,117,91,88,30,65,100,74,83,26,100,100,117,91,88,30,65,100,74,83,26,100,100,114,91,88,30,65,100,74,83,26,100,100,103,91,88,30,65,100,74,83,26,100,100,117,91,88,31,65,100,74,83,26,100,100,115,91,88,31,65,100,74,83,26,100,100,114,91,88,31,65,100,74,83,26,100,100,117,91,88,31,65,100,74,83,26,100,100,114,91,88,31,65,100,74,83,26,100,100,120,91,88,31,65,100,74,83,26,100,100,116,91,88,31,65,100,75,83,25,100,100,111,91,88,31,65,100,74,83,26,100,100,107,91,88,31,65,100,74,83,26,100,100,118,91,88,31,65,100,74,83,26,100,100,118,91,88,31,65,100,74,83,26,100,100,119,91,88,31,65,100,75,83,25,100,100,116,91,88,31,65,100,74,83,26,100,100,118,91,88,31,65,100,74,83,26,100,100,111,91,88,31,65,100,74,83,26,100,100,108,91,88,31,65,100,74,83,26,100,100
S3012EXQ,0,113,91,87,47,100,100,85,100,15,100,100,113,91,87,47,100,100,84,100,16,100,100,120,91,87,47,100,100,85,100,15,100,100,117,91,87,47,100,100,85,100,15,100,100,113,91,87,47,100,100,85,100,15,100,100,118,91,87,47,100,100,85,100,15,100,100,114,91,87,47,100,100,85,100,15,100,100,120,91,87,47,100,100,85,100,15,100,100,119,91,87,47,100,100,85,100,15,100,100,118,91,87,47,100,100,85,100,15,100,100,117,91,87,47,100,100,85,100,15,100,100,117,91,87,47,100,100,85,100,15,100,100,116,91,87,47,100,100,85,100,15,100,100,119,91,87,47,100,100,85,100,15,100,100,111,91,87,47,100,100,85,100,15,100,100,115,91,87,47,100,100,85,100,15,100,100,114,91,87,47,100,100,85,100,15,100,100,115,91,87,48,100,100,85,100,15,100,100,116,91,87,48,100,100,82,100,18,100,100,110,91,87,48,100,100,81,100,19,100,100
Z305KVT9,0,118,91,79,39,99,100,76,98,24,100,100,108,91,79,39,99,100,75,98,25,100,100,109,91,79,39,99,100,75,98,25,100,100,117,91,79,39,99,100,74,98,26,100,100,119,91,78,39,99,100,74,98,26,100,100,119,91,78,39,99,100,74,98,26,100,100,117,91,78,39,99,100,75,98,25,100,100,116,91,78,39,99,100,75,98,25,100,100,114,91,78,39,99,100,75,98,25,100,100,118,91,78,39,99,100,76,98,24,100,100,119,91,78,39,99,100,76,98,24,100,100,117,91,78,39,99,100,76,98,24,100,100,117,91,78,39,99,100,76,98,24,100,100,109,91,78,39,99,100,76,98,24,100,100,108,91,78,39,99,100,76,98,24,100,100,114,91,78,39,99,100,75,98,25,100,100,117,91,78,39,99,100,75,98,25,100,100,114,91,78,39,99,100,74,98,26,100,100,119,91,77,39,99,100,73,98,27,100,100,113,91,77,39,99,100,73,98,27,100,100
Z305D4XT,0,114,91,79,40,100,100,80,98,20,100,100,115,91,79,40,100,100,80,98,20,100,100,120,91,79,40,100,100,80,98,20,100,100,104,91,79,40,100,100,80,98,20,100,100,118,91,79,40,100,100,80,98,20,100,100,114,91,79,40,100,100,79,98,21,100,100,119,91,78,40,100,100,80,98,20,100,100,112,91,78,40,100,100,78,98,22,100,100,114,91,78,40,100,100,78,98,22,100,100,120,91,78,40,100,100,78,98,22,100,100,118,91,78,40,100,100,78,98,22,100,100,118,91,78,41,100,100,78,98,22,100,100,119,91,78,41,100,100,78,98,22,100,100,118,91,78,41,100,100,78,98,22,100,100,117,91,78,41,100,100,78,98,22,100,100,114,91,78,41,100,100,78,98,22,100,100,117,91,78,41,100,100,79,98,21,100,100,117,91,78,41,100,100,78,98,22,100,100,119,91,78,41,100,100,79,98,21,100,100,105,91,78,41,100,100,79,98,21,100,100
Z3059JLE,0,119,91,87,32,100,100,80,83,20,100,100,115,91,87,32,100,100,80,83,20,100,100,116,91,87,32,100,100,80,83,20,100,100,116,91,87,32,100,100,80,83,20,100,100,118,91,87,32,100,100,80,83,20,100,100,117,91,87,32,100,100,80,83,20,100,100,116,91,87,33,100,100,80,83,20,100,100,117,91,87,33,100,100,80,83,20,100,100,116,91,87,33,100,100,80,83,20,100,100,116,91,87,33,100,100,80,83,20,100,100,117,91,87,33,100,100,80,83,20,100,100,114,91,87,33,100,100,80,83,20,100,100,114,91,87,33,100,100,80,83,20,100,100,115,91,87,33,100,100,80,83,20,100,100,117,91,87,33,100,100,80,83,20,100,100,118,91,87,33,100,100,80,83,20,100,100,117,91,87,33,100,100,80,83,20,100,100,108,91,87,33,100,100,80,83,20,100,100,117,91,87,33,100,100,80,83,20,100,100,118,91,87,33,100,100,80,83,20,100,100
Z3059XVZ,0,118,91,81,40,100,100,77,96,23,100,100,117,91,81,40,100,100,77,96,23,100,100,113,91,81,40,100,100,77,96,23,100,100,117,91,80,40,100,100,78,96,22,100,100,108,91,80,40,100,100,78,96,22,100,100,117,91,80,40,100,100,78,96,22,100,100,118,91,80,40,100,100,78,96,22,100,100,118,91,80,40,100,100,78,96,22,100,100,106,91,80,40,100,100,78,96,22,100,100,115,91,80,41,100,100,78,96,22,100,100,114,91,80,41,100,100,78,96,22,100,100,117,91,80,41,100,100,78,96,22,100,100,117,91,80,41,100,100,78,96,22,100,100,114,91,80,41,100,100,78,96,22,100,100,119,91,80,41,100,100,78,96,22,100,100,115,91,79,41,100,100,78,96,22,100,100,117,91,79,41,100,100,78,96,22,100,100,119,91,79,41,100,100,78,96,22,100,100,117,91,79,41,100,100,78,96,22,100,100,108,91,79,41,100,100,78,96,22,100,100
Z303AYBH,0,117,91,83,38,100,100,77,98,23,100,100,114,91,83,38,100,100,77,98,23,100,100,119,91,83,38,100,100,77,98,23,100,100,118,91,83,38,100,100,77,98,23,100,100,115,91,83,38,100,100,78,98,22,100,100,114,91,83,38,100,100,78,98,22,100,100,113,91,83,38,100,100,77,98,23,100,100,108,91,83,39,100,100,78,98,22,100,100,117,91,83,39,100,100,77,98,23,100,100,114,91,83,39,100,100,78,98,22,100,100,119,91,83,39,100,100,77,98,23,100,100,106,91,83,39,100,100,77,98,23,100,100,118,91,83,39,100,100,77,98,23,100,100,118,91,83,39,100,100,77,98,23,100,100,118,91,83,39,100,100,77,98,23,100,100,115,91,83,39,100,100,78,98,22,100,100,117,91,83,39,100,100,78,98,22,100,100,113,91,83,39,100,100,78,98,22,100,100,119,91,83,39,100,100,78,98,22,100,100,117,91,83,39,100,100,78,98,22,100,100
Z304JKJD,0,118,92,87,29,99,100,79,97,21,100,100,116,92,87,29,99,100,80,97,20,100,100,115,92,87,29,99,100,80,97,20,100,100,117,92,87,30,99,100,80,97,20,100,100,119,92,87,30,99,100,80,97,20,100,100,119,92,87,30,99,100,80,97,20,100,100,119,92,87,30,99,100,80,97,20,100,100,107,92,87,30,99,100,80,97,20,100,100,103,92,87,30,99,100,80,97,20,100,100,118,92,87,30,99,100,79,97,21,100,100,106,92,87,30,99,100,80,97,20,100,100,117,92,87,30,99,100,80,97,20,100,100,114,92,87,30,99,100,80,97,20,100,100,114,92,87,30,99,100,80,97,20,100,100,116,92,87,30,99,100,80,97,20,100,100,117,92,87,30,99,100,80,97,20,100,100,114,92,87,30,99,100,80,97,20,100,100,113,92,87,30,99,100,80,97,20,100,100,102,92,87,30,99,100,79,97,21,100,100,118,92,87,30,99,100,80,97,20,100,100
Z304JN68,0,108,91,88,32,100,100,70,95,30,100,100,119,91,88,32,100,100,70,95,30,100,100,117,91,88,32,100,100,70,95,30,100,100,111,91,88,32,100,100,70,95,30,100,100,115,91,88,32,100,100,70,95,30,100,100,114,91,88,32,100,100,70,95,30,100,100,118,91,88,32,100,100,70,95,30,100,100,117,91,88,32,100,100,71,95,29,100,100,111,91,88,32,100,100,71,95,29,100,100,111,91,88,32,100,100,71,95,29,100,100,118,91,88,32,100,100,71,95,29,100,100,114,91,88,32,100,100,71,95,29,100,100,109,91,88,32,100,100,71,95,29,100,100,119,91,88,32,100,100,71,95,29,100,100,114,91,88,32,100,100,71,95,29,100,100,118,91,88,32,100,100,71,95,29,100,100,114,91,88,32,100,100,70,95,30,100,100,118,91,88,32,100,100,71,95,29,100,100,118,91,88,32,100,100,71,95,29,100,100,117,91,88,32,100,100,71,95,29,100,100
S3010MDM,0,118,93,86,32,100,100,76,74,24,100,100,110,93,86,32,100,100,76,74,24,100,100,117,93,86,32,100,100,76,74,24,100,100,118,93,86,32,100,100,76,74,24,100,100,110,93,86,32,100,100,76,74,24,100,100,114,93,86,32,100,100,76,74,24,100,100,120,93,86,32,100,100,75,74,25,100,100,115,93,86,32,100,100,75,74,25,100,100,111,93,86,32,100,100,75,74,25,100,100,115,93,86,32,100,100,75,74,25,100,100,105,93,86,32,100,100,75,74,25,100,100,119,93,86,32,100,100,75,74,25,100,100,116,93,86,32,100,100,75,74,25,100,100,118,93,86,32,100,100,75,74,25,100,100,117,93,86,32,100,100,75,74,25,100,100,117,93,86,32,100,100,75,74,25,100,100,119,93,86,32,100,100,75,74,25,100,100,115,93,86,32,100,100,75,74,25,100,100,119,93,86,32,100,100,75,74,25,100,100,118,93,86,32,100,100,76,74,24,100,100
S301NH3R,0,114,92,89,30,99,100,74,98,26,100,100,117,92,89,30,99,100,74,98,26,100,100,117,92,89,30,99,100,74,98,26,100,100,117,92,89,30,99,100,74,98,26,100,100,118,92,89,30,99,100,74,98,26,100,100,120,92,89,30,99,100,74,98,26,100,100,114,92,89,30,99,100,74,98,26,100,100,118,92,89,30,99,100,74,98,26,100,100,118,92,89,30,99,100,74,98,26,100,100,120,92,89,30,99,100,74,98,26,100,100,116,92,89,31,99,100,74,98,26,100,100,112,92,89,31,99,100,74,98,26,100,100,114,92,89,31,99,100,74,98,26,100,100,120,92,89,31,99,100,74,98,26,100,100,120,92,89,31,99,100,74,98,26,100,100,116,92,89,31,99,100,74,98,26,100,100,117,92,89,31,99,100,74,98,26,100,100,114,92,89,31,99,100,74,98,26,100,100,112,92,89,31,99,100,74,98,26,100,100,113,92,89,31,99,100,74,98,26,100,100
Z3029YT4,0,119,94,88,28,97,100,81,72,19,100,100,119,94,88,28,97,100,81,72,19,100,100,117,94,88,28,97,100,81,72,19,100,100,116,94,88,28,97,100,81,72,19,100,100,117,94,88,28,98,100,81,72,19,100,100,117,94,88,28,98,100,81,72,19,100,100,120,94,88,28,98,100,81,72,19,100,100,113,94,88,28,98,100,81,72,19,100,100,116,94,88,28,98,100,81,72,19,100,100,117,94,88,28,98,100,81,72,19,100,100,114,94,88,28,98,100,81,72,19,100,100,117,94,88,28,98,100,81,72,19,100,100,116,94,88,28,98,100,81,72,19,100,100,119,94,88,28,98,100,81,72,19,100,100,119,94,88,28,98,100,81,72,19,100,100,114,94,88,28,98,100,81,72,19,100,100,119,94,88,28,98,100,81,72,19,100,100,117,94,88,28,98,100,81,72,19,100,100,117,94,88,28,98,100,81,72,19,100,100,120,94,88,28,98,100,81,72,19,100,100
